Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,1,Petroleum Liquids,IC,,S,X,X,,,0.9,0.800,0.4,0.4,0.4,N, , ,SB,Y,12,2000, , ,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,2,Petroleum Liquids,IC,,S,X,X,,,0.9,0.800,0.3,0.3,0.3,N, , ,OP,X,12,2000, , ,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,3,Petroleum Liquids,IC,,S,X,X,,,0.5,0.800,0.3,0.3,0.3,N, , ,OP,X,12,2010, , ,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,5,Petroleum Liquids,IC,,S,X,X,,,0.7,0.800,0.4,0.3,0.3,N, , ,OS,X,12,2000, , ,N,Electric Utility,1,X,DFO,,,,,,,,,,,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,WT1,Onshore Wind Turbine,WT,,S,X,X,,,0.5,0.890,0.1,0.1,0.1,N, , ,OS,X,10,2011, , ,N,Electric Utility,1,X,WND,,,,,,,,,,,,1,,,,,,,,, , , , , , , , ,,, , , ,, , ,,,
63560,"TDX Sand Point Generating, LLC",1,Sand Point,AK,Aleutians East,WT2,Onshore Wind Turbine,WT,,S,X,X,,,0.5,0.890,0.3,0.3,0.3,N, , ,OA,X,10,2011, , ,N,Electric Utility,1,X,WND,,,,,,,,,,,,1,,,,,,,,, , , , , , , , ,,, , , ,, , ,,,
195,Alabama Power Co,2,Bankhead Dam,AL,Tuscaloosa,1,Conventional Hydroelectric,HY,,S,X,X,,,53.9,0.920,53.0,53.0,52.0,N, , ,OP,X,7,1963, , ,N,Electric Utility,1,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
195,Alabama Power Co,3,Barry,AL,Mobile,1,Natural Gas Steam Turbine,ST,,S,X,X,,,153.1,0.850,80.0,80.0,55.0,N, , ,OP,X,2,1954, , ,N,Electric Utility,1,X,NG,,,,,,NG,,,,,, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,
195,Alabama Power Co,3,Barry,AL,Mobile,2,Natural Gas Steam Turbine,ST,,S,X,X,,,153.1,0.850,80.0,80.0,55.0,N, , ,OP,X,7,1954, , ,N,Electric Utility,1,X,NG,,,,,,NG,,,,,, ,OVER,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
195,Alabama Power Co,3,Barry,AL,Mobile,4,Conventional Steam Coal,ST,,S,X,X,,,403.7,0.850,362.0,362.0,200.0,N, , ,OP,X,12,1969, , ,N,Electric Utility,1,X,BIT,,,,,,NG,,,,,, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,N,,
